ref_organ,ref_organ_part,parent,child,parent_label,child_label
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_internal_pudendal_vein_R,UBERON:0018252,UBERON:0001317,internal pudendal vein,internal iliac vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_coronary_sinus,UBERON:0005438,FMA:4715,coronary sinus,Oblique vein of left atrium
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_oblique_vein_of_left_atrium,FMA:4715,UBERON:0005438,Oblique vein of left atrium,coronary sinus
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_hepatic_portal_vein,UBERON:0001639,FMA:14772,hepatic portal vein,Hepatic artery proper
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_proper_hepatic_artery,FMA:14772,UBERON:0001639,Hepatic artery proper,hepatic portal vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_pulmonary_artery_L,UBERON:0001652,UBERON:0002333,left pulmonary artery,pulmonary trunk
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_pulmonary_trunk,UBERON:0002333,UBERON:0001652,pulmonary trunk,left pulmonary artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_aortic_arch,UBERON:0001508,UBERON:0001496,arch of aorta,ascending aorta
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_ascending_aorta,UBERON:0001496,UBERON:0001508,ascending aorta,arch of aorta
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_left_renal_vein,UBERON:0001142,UBERON:0003713,left renal vein,splenic vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_splenic_vein,UBERON:0003713,UBERON:0001142,splenic vein,left renal vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_left_common_iliac_vein,FMA:21388,UBERON:0006687,Left common iliac vein,median sacral vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_median_sacral_vein,UBERON:0006687,FMA:21388,median sacral vein,Left common iliac vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_common_hepatic_artery,UBERON:0005436,FMA:14772,common hepatic artery,Hepatic artery proper
